time,open,high,low,close,Buy Signal,Sell Signal
8/3/2022,410.3,415.68,410,414.45,0,0
8/4/2022,414.37,415.09,412.44,414.17,0,0
8/5/2022,409.66,414.15,409.6,413.47,0,0
8/8/2022,415.25,417.62,411.83,412.99,0,0
8/9/2022,412.22,412.75,410.22,411.35,0,0
8/10/2022,418.78,420.14,416.72,419.99,0,0
8/11/2022,422.99,424.95,419.21,419.99,0,0
8/12/2022,422.03,427.21,421.03,427.1,0,0
8/15/2022,424.765,429.41,424.71,428.86,0,0
8/16/2022,427.73,431.73,426.88,429.7,0,0
8/17/2022,425.91,429.5,424.54,426.65,0,0
8/18/2022,426.86,428.61,425.5,427.89,0,0
8/19/2022,424.98,425.26,421.22,422.14,0,0
8/22/2022,417.05,417.23,412.4,413.35,0,0
8/23/2022,412.9,415.42,411.77,412.35,0,0
8/24/2022,412.11,415.1101,411.39,413.67,0,0
8/25/2022,415.24,419.56,414.09,419.51,0,0
8/26/2022,419.39,419.96,405.25,405.31,0,1
8/29/2022,402.2,405.84,401.1999,402.63,0,0
8/30/2022,403.85,404.1,396,398.21,0,0
8/31/2022,399.93,401.24,395.04,395.18,0,0
9/1/2022,392.89,396.78,390.04,396.42,0,0
9/2/2022,400.28,401.555,390.33,392.24,0,0
9/6/2022,393.13,394.12,388.42,390.76,0,0
9/7/2022,390.43,398.59,390.2,397.78,0,0
9/8/2022,395.39,400.86,394.12,400.38,0,0
9/9/2022,402.74,407.51,402.46,406.6,0,0
9/12/2022,408.78,411.73,408.46,410.97,0,0
9/13/2022,401.83,403.1,391.92,393.1,0,0
9/14/2022,394.47,396.2,391.12,394.6,0,0
9/15/2022,392.96,395.96,388.78,390.12,0,0
9/16/2022,384.14,386.25,382.11,385.56,0,0
9/19/2022,382.26,388.55,382.1784,388.55,0,0
9/20/2022,385.06,386.12,381.195,384.09,0,0
9/21/2022,386.11,389.31,377.38,377.39,0,0
9/22/2022,376.58,378.3,373.44,374.22,0,0
9/23/2022,370.58,370.62,363.29,367.95,0,0
9/26/2022,366.41,370.21,363.0299,364.31,0,0
9/27/2022,368.02,370.4,360.87,363.38,0,0
9/28/2022,364.38,372.3,362.6,370.53,0,0
9/29/2022,366.81,367.11,359.7,362.79,0,0
9/30/2022,361.8,365.91,357.04,357.18,0,0
10/3/2022,361.08,368.55,359.21,366.61,0,0
10/4/2022,372.4,378,366.5677,377.97,0,0
10/5/2022,373.39,379.46,370.95,377.09,0,0
10/6/2022,375.62,378.72,372.68,373.2,0,0
10/7/2022,368.97,373.2933,360.94,362.79,0,0
10/10/2022,363.96,364.21,357.67,360.02,0,0
10/11/2022,358.235,363.03,355.71,357.74,0,0
10/12/2022,358.17,359.8179,356.3,356.56,0,0
10/13/2022,349.205,367.51,348.11,365.97,0,0
10/14/2022,368.55,370.26,356.96,357.63,0,0
10/17/2022,364.01,367.9799,357.2808,366.82,0,0
10/18/2022,375.13,375.45,367.52,371.13,0,0
10/19/2022,368.99,371.85,365.55,368.5,0,0
10/20/2022,368.03,372.67,364.61,365.41,0,0
10/21/2022,365.12,374.8,363.54,374.29,0,0
10/24/2022,375.89,380.06,373.11,378.87,0,0
10/25/2022,378.79,385.25,378.671,384.92,1,0
10/26/2022,381.62,387.58,381.35,382.02,0,0
10/27/2022,383.07,385,379.33,379.98,0,0
10/28/2022,379.87,389.52,379.68,389.02,0,0
10/31/2022,386.44,388.4,385.26,386.21,0,0
11/1/2022,390.14,390.39,383.29,384.52,0,0
